"id_registro","fecha","usuario","nombre_equipo","marca","modelo","serie","unidad","respuestas","obs","idpdf"
"161","2026-07-24 14:29:54","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1784917793016404"
"162","2026-07-31 15:47:39","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1785527258383745"
"163","2026-07-31 15:49:07","Martin","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1785527347041232"
"164","2026-07-31 15:49:49","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1785527388776201"
"165","2026-07-31 15:50:35","Martin","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1785527434225141"
"166","2026-08-07 14:53:50","Jorge","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1786128829700604"
"167","2026-08-07 14:57:08","Jorge","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6765","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1786129027549702"
"168","2026-08-07 15:00:05","Jorge","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6762","ATENCION-OBSTETRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Falta papel ","1786129204212913"
"169","2026-08-07 15:01:45","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6764","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1786129304256910"
"170","2026-08-14 15:11:28","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1786734687737385"
"171","2026-08-14 15:12:41","Martin","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1786734760429560"
"172","2026-08-14 15:14:45","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000067
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1786734885055208"
"173","2026-08-21 15:07:14","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1787339233044399"
"174","2026-08-21 15:07:48","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","178733926754213"
"175","2026-08-21 15:09:15","Jorge","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1787339354323572"
"176","2026-08-21 15:09:39","Jorge","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1787339379211759"
"177","2026-09-07 15:56:51","Martin","Maquina de anestesia","Dräger","Perseus A500","ASLL-0008","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","",""
"178","2026-09-07 15:58:18","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000067
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","",""
"179","2026-09-07 15:59:09","Martin","Maquina de anestesia","MINDRAY","A8"," FX6-3B000065
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","",""
"180","2026-09-11 14:33:20","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1789147999575428"
"181","2026-09-11 14:35:28","Jorge","Maquina de anestesia","MINDRAY","A8","FX6-3B000066
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1789148127353969"
"182","2026-09-11 14:37:53","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6764","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1789148272423420"
"183","2026-09-11 14:39:53","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6755","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok fecha por un día de retraso revisar configuración ","1789148393130460"
"184","2026-09-11 14:42:27","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6752","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok falta papel impresora, fecha un día de atraso ","1789148546671377"
