"id_registro","fecha","usuario","nombre_equipo","marca","modelo","serie","unidad","respuestas","obs","idpdf"
"96","2026-03-03 09:41:28","Jorge","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6762","URGENCIA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NO"",""OK"",""OK"",""OK""]","Sin calibración y con otro equipo que no es del servicio además sin papel ","1772541686949202"
"97","2026-03-03 10:11:45","Jorge","Ecografo Ginecoobstétrico baja complejidad","GENERAL ELECTRIC","VERSANA PREMIER","6152566WX0","BODEGA-EEMM","[""OK"",""NO"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Se encuentra con gel , se les informa  al servicio queda Ok","1772543504961804"
"98","2026-03-03 10:14:54","Jorge","Carro de paro completo ADULTO","MALVESTIO / NIHON KOHDEN","329501 / TEC-5631","6722","CIRUGIA-MENOR","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NO"",""OK"",""OK"",""OK""]","Falta calibración. Semanal ","1772543694064488"
"99","2026-03-04 09:53:36","Patricio","Lavadora de chatas","Tuttnauer","REVO PRO","L22300113","UPC","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Se revisando sensores de nivel de agua y se deja equipo operativo ","1772628815971256"
"100","2026-03-05 13:19:56","Jorge","Camilla de examen","CLINICON (FABRICANTE ITALINOX)","CAMILLA DE EXAMEN","S/N","URGENCIA-PEDIATRICA","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NO"",""OK"",""OK"",""OK"",""OK""]","Se repara manilla superior izquierda y central de camilla ","1772727595369822"
"101","2026-03-06 15:15:58","Patricio","Maquina de anestesia","MINDRAY","A8"," FX6-3B000068
","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NA""]","Operativo ","1772820957620792"
"102","2026-03-06 15:18:32","Patricio","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NA""]","Operativo ","1772821111885577"
"103","2026-03-06 15:21:59","Patricio","Maquina de anestesia","Dräger","Perseus A500","ASLL-0007","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""NA""]","Operativo ","1772821318832914"
"104","2026-03-13 15:17:16","Jorge","Maquina de anestesia","Dräger","Perseus A500","ASLL-0009","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","177342583534973"
"105","2026-03-13 15:18:40","Jorge","Monitor Desfibrilador con carro de transporte","NIHON KOHDEN","TEC-5631","6752","PABELLONES-QUIRURGICOS","[""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK"",""OK""]","Ok","1773425920023473"
